i,executor,block,hash,gasUsed,effectiveGasPrice,gasMetered,price,refund,tip,realFee,ratio,drift,executorNet,paid
1,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494271,0xf4c46a623add8bd7d1835dd128b7cfb6917900553568168ab6f9513e12734164,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
2,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494274,0x90c748f5e8a5cc2153df37c877bddd668e3b6736ad5fb0215a19fbe7a8c894e1,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
3,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494276,0x970135ffee52693fd876573822da513e5e46471aca9a1ddd89ef1a7fc4875b81,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
4,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494278,0x744cd5aeebd30d64c8a9a68e47421b1e3987653bfa98d56a421cf701e24ee33d,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
5,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494281,0x31fd3effc895dae7131c431ad75375a06525ea0ed73a8f09498f9c022e215f7e,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
6,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494283,0x12183d67f2cfd665f5a13bd063cb293085467278dc591d7491378046638c1c32,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
7,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494286,0x47424245c775c7fe9c1613a9a45687cbdfbc5448754d530e593fe7b5714029e0,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
8,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494289,0x58898e2002365a05739b591d1c64e9b9bd40398cb8ad02fc59e1a36b6c7304c1,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
9,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494292,0x17aa51a2c5db2911a9120fc67da3e5c319b8b6cdc80565b130d3311e9168def8,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
10,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494295,0x6d01280f7e058f211040339dd92fae30c5da4ef2130b360ce4c4252190a9152d,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
11,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494298,0x70b401407c8722797282586f58c742d7978259922e65addb8ae89bddb5f2c16e,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
12,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494301,0x757c13ec6028e189656fa3e361093fdd8a0bfbbb95af9aaa713241ba8bcf49fb,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
13,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494303,0x10e2d9436b9c9a5e1ddae80eaf7f8ad86015fa043eb8a65dc4deb548658ac641,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
14,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494306,0xb491f904b80bbdc3f348d662a5e1957c50047a9c5d1224b795c1eeb75f5c59f4,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
15,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494310,0x7d858747f9a6860fe7110084637a4c8ae29d62063777261a1bac9f858145d792,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
16,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494312,0x3145f276accfd6bbbaede4f9561511c728f431788e999f6dd7b1ee44d717c525,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
17,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494315,0x4c9026031b4eb7de551b0eae9b116e994ff264e565ef798e11d557b8bdfecf3d,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
18,0xa8965a47c9b6ed34f47b374f36cf6c752d24852a,21494318,0x91d52409aa752adbd5c277809e05b43410b171b4a93ae737a76ba9ff0c74e01f,58415,20000000000,58415,20000000000,1168300000000000,100000000000000,1168300000000000,1.000000,0,100000000000000,true
